43.149468,508,0.299926,32.4,26.400001,-21.40002
44.149526,508,0.282233,32.4,26.4,-21.000101
45.149583,508,0.294124,32.4,26.4,-21
46.14964,508,0.288135,32.4,26.4,-20.80002
47.149697,508,0.298748,32.4,26.4,-20.98
48.149755,513,0.292945,32.9,26.4,-21.39998
49.149812,513,0.299749,32.9,26.4,-21.4
50.149869,514,0.271343,33.2,26.4,-21.4
51.149926,515,0.282304,33.2,26.4,-21.400999
52.149983,517,0.299335,33.4,26.4,-21.399001
53.15004,518,0.293486,33.4,26.4,-21.31
54.150097,518,0.299909,33.4,26.301,-21.10002
55.150155,519,0.299927,33.4,26.3999,-21.199999
56.150212,519,0.299927,33.5,26.4,-21.2
57.150269,522,0.294653,33.7,26.39999,-21.198999
58.150326,523,0.299921,33.7,26.4,-21.2999
59.199386,524,0.299927,33.8,26.4,-21.2001
60.199443,524,0.299927,34,26.4,-21.2
61.199501,526,0.299347,34,26.4,-21.000001
62.199558,526,0.294126,34,26.4,-21
63.199615,527,0.299341,34,26.4,-21.09999
64.199672,527,0.294653,34,26.4,-21.1
65.199729,527,0.294648,34,26.4,-21.2
66.199787,527,0.299921,34,26.4,-20.800002
67.199844,527,0.28818,34,26.49999,-20.8999
68.199901,533,0.299927,34.3,26.401,-20.5002
69.199958,534,0.299927,34.3,26.4,-20.599
70.200016,534,0.299926,34.3,26.5,-20.69
71.200073,535,0.299927,34.5,26.5,-20.7
72.20013,537,0.299927,34.6,26.5,-20.799
73.200187,537,0.299927,34.6,26.5,-20.8
74.200244,540,0.299927,34.6,26.5,-20.602
75.200302,540,0.299927,34.6,26.5,-20.6999
76.249362,541,0.299927,34.6,26.5,-20.7
77.249419,541,0.299927,34.8,26.5,-20.4
78.249476,543,0.299927,34.8,26.5,-20.499999
79.249533,544,0.299927,34.9,26.5,-20.5
80.24959,545,0.299927,34.9,26.5,-20.5
81.249648,548,0.299927,34.9,26.5,-20.3002
82.249705,548,0.299927,34.9,26.5,-20.48
83.249762,548,0.299927,34.9,26.401,-20.5999
84.249819,548,0.299927,34.9,26.4,-20.71
85.249876,548,0.299927,34.9,26.4,-20.700001
86.249934,552,0.299927,35.1,26.4,-20.7
87.249991,553,0.299927,35.1,26.4,-20.7999
88.250048,554,0.299927,35.1,26.4,-20.68002
89.250105,554,0.299927,35.2,26.300001,-20.7999
90.250162,556,0.299927,35.4,26.2,-20.8
91.250219,556,0.299927,35.4,26.2,-20.8
92.250277,558,0.299927,35.4,26.2,-20.8
93.250334,559,0.299927,35.4,26.2,-20.7001
94.299394,561,0.299927,35.5,26.1,-20.7001
95.299451,562,0.299927,35.5,26.1,-20.699
96.299508,563,0.299927,35.5,26.1,-20.7
97.299565,565,0.299927,35.7,26.1,-20.60001
98.299623,565,0.299927,35.7,26.0001,-20.599901
99.29968,566,0.299926,35.7,26.1,-20.7
100.299737,566,0.299869,35.7,26.1,-20.51001
101.299794,566,0.289248,35.7,26.000001,-20.48999
102.299851,566,0.298752,35.7,26,-20.6
103.299909,566,0.289248,35.7,26,-20.40101
